"date" "BAC" "INTC" "JPM" "LIN" "MCD" "MSFT" "PG" "T" "VZ" "WMT" "SP500" "Mkt.RF" "SMB" "HML" "RF"
"1" 2000-09-01 0 0 0 0 0 0 0 0 0 0 0 0.38 0.15 -0.35 0.025
"2" 2000-09-05 0.0190472582094801 -0.0633980610030572 0.0144285273094362 -0.00282480404510976 0.00422815801663612 -0.000890415618956975 0.0183299318346146 0.00582295924676424 -0.0127656156242496 0.0205133188731423 -0.00900206067976006 -0.97 -0.23 1.33 0.025
"3" 2000-09-06 0.00233697344843198 -0.0512184251975791 -0.0196936542669583 0.0234248814786124 0.0147368133154835 -0.00980437322079319 0.0150001225334109 -0.007235883448512 -0.0201149898024472 0.00502487764541604 -0.00984019191613483 -1.23 -0.33 2.01 0.025
"4" 2000-09-07 0.0139862281913121 0.0263969624130862 0.0223215258028986 -0.0277774951680254 -0.0207468879668051 0.00900123680703069 -0.0128080137257759 -0.00291524611258209 0.0234605964696639 0.0199999250889817 0.0068755302395711 0.8 0.59 -0.72 0.025
"5" 2000-09-08 0.028735172617228 -0.0305836189873382 0.00982550094203383 -0.0385716957453756 -0.0254237859175596 -0.0107047222961895 0.0129741872947275 0.0540935575721866 0.0157587138923503 0.0220590760290948 -0.00533108594730758 -0.83 -0.65 0.9 0.025
"6" 2000-09-11 0.0111734871688174 -0.0105161217089038 -0.00540513711082524 0.00148538055925762 -0.0130435962124815 -0.0072138830382068 -0.0118226902864952 0.01941688645685 0.0169257931471392 0.0431655300242737 -0.0035061826697893 -0.45 -0.77 1.43 0.025
"7" 2000-09-12 0.00773421282038655 0.00386472347732836 -0.0815223424676184 -0.00148317747626858 0.0220264950091065 -0.0099905609209926 0.00598212407916687 -0.00680277670400442 -0.00416101972759442 -0.00689638638104018 -0.0048816324558395 -0.5 0.41 -0.08 0.025
"8" 2000-09-13 -0.00328866360053626 -0.0567853033068882 -0.0402365537638093 -0.0341754745940548 -0.0624999782167905 0.00183460810393865 -0.00891988106680031 -0.0054793659322433 -0.033426140966501 -0.00120527358401701 0.00197035338949902 0.29 -0.18 -0.15 0.025
"9" 2000-09-14 -0.00852639001750966 -0.0265307296413914 -0.0135631972438618 -0.00769179700342548 0.00229906765231958 -0.0357144644389009 -0.019249998818624 -0.011019469460719 0.00288185117277129 -0.025522525521915 -0.00272072981358817 0.01 0.92 -0.37 0.025
"10" 2000-09-15 -0.025797014180248 -0.0353777298263903 -0.0175001757814762 -0.0496126073952039 0.0275226232819266 -0.0246912798480742 0.0196278346117116 -0.0139273287834353 0.0229886232925713 -0.00952303563501788 -0.0101696543591594 -1.23 -0.11 0.98 0.025
"11" 2000-09-18 -0.0216404121291665 -0.029611244739101 -0.0521628606370274 -0.00978790360442761 0.0178572062433231 -0.0185002972446994 -0.00599996109701573 0.011299317236436 -0.0252810174771152 -0.0168275872690858 -0.0145312476669257 -1.8 -0.34 0.55 0.025
"12" 2000-09-19 0.0221190780950609 0.0817465705449412 0.00671166184768479 -0.0296541930001889 -0.0219297680461883 0.0317459646408049 -0.0100604071083992 0.0167598774412412 0.00720462793192844 -0.0244497608188932 0.0106541414690509 1.24 0.43 -1.53 0.025
"13" 2000-09-20 -0.0193621192938245 0.0445139493788809 -0.00800030666015916 -0.0220714009645814 -0.00672618585738749 -0.0115385523890877 0.00508165878673195 -0.0233515025180682 -0.0386265100946833 -0.0275688076647382 -0.00586345493477436 -0.39 0.61 -0.59 0.025
